ID,Name,Compartment,"Copy number, typical",Type,Role
H2O,water,c,309737899,metabolite,substrate
H,hydrogen ion,c,13042,metabolite,product
AMP,AMP,c,1449,metabolite,product
CMP,CMP,c,1449,metabolite,product
GMP,GMP,c,1449,metabolite,product
UMP,UMP,c,1449,metabolite,product
ALA,L-alanine,c,8303,metabolite,product
ARG,L-Arginine,c,5991,metabolite,product
ASN,L-Asparagine,c,11161,metabolite,product
ASP,L-Aspartate,c,9407,metabolite,product
CYS,L-Cysteine,c,2181,metabolite,product
GLN,L-glutamine,c,7920,metabolite,product
GLU,L-Glutamate,c,9518,metabolite,product
GLY,glycine,c,7679,metabolite,product
HIS,L-Histidine,c,2933,metabolite,product
ILE,L-Isoleucine,c,14247,metabolite,product
LEU,L-Leucine,c,17971,metabolite,product
LYS,L-Lysine,c,15094,metabolite,product
MET,L-Methionine,c,2792,metabolite,product
PHE,L-phenylalanine,c,7681,metabolite,product
PRO,L-Proline,c,4140,metabolite,product
SER,L-Serine,c,8749,metabolite,product
THR,L-Threonine,c,4460,metabolite,product
TRP,L-tryptophan,c,1084,metabolite,product
TYR,L-tyrosine,c,5375,metabolite,product
VAL,L-Valine,c,9500,metabolite,product
FMET,N-Formyl-L-methionine,c,0,metabolite,product
TU_001,MG_001 - MG_002,c,0,rna,substrate
TU_002,MG_003 - MG_004,c,0,rna,substrate
TU_003,MG_005 - MG_009,c,1,rna,substrate
TU_004,MG_010,c,0,rna,substrate
TU_005,MG_011 - MG_012,c,0,rna,substrate
TU_006,MG_013,c,0,rna,substrate
MG471,MG471,c,35,rna,substrate/product
MG472,MG472,c,36,rna,substrate/product
TU_008,MG_014 - MG_015,c,0,rna,substrate
TU_009,MG_018,c,0,rna,substrate
TU_010,MG_019 - MG_021,c,0,rna,substrate
TU_011,MG_022 - MG_024,c,0,rna,substrate
TU_012,MG_025,c,0,rna,substrate
TU_013,MG_026 - MG_028,c,0,rna,substrate
TU_014,MG_029 - MG_031,c,0,rna,substrate
TU_015,MG_032,c,0,rna,substrate
TU_016,MG_033,c,0,rna,substrate
TU_017,MG_034,c,0,rna,substrate
TU_018,MG_035,c,0,rna,substrate
TU_019,MG_036,c,0,rna,substrate
TU_020,MG_037,c,0,rna,substrate
TU_021,MG_038,c,0,rna,substrate
TU_022,MG_039,c,0,rna,substrate
TU_023,MG_040,c,0,rna,substrate
TU_024,MG_041,c,0,rna,substrate
TU_025,MG_042 - MG_044,c,0,rna,substrate
TU_026,MG_045,c,0,rna,substrate
TU_027,MG_046 - MG_047,c,0,rna,substrate
TU_028,MG_048,c,0,rna,substrate
TU_029,MG_049 - MG_051,c,1,rna,substrate
TU_030,MG_052 - MG_053,c,0,rna,substrate
TU_031,"MG_054, MG_055, MG_473",c,1,rna,substrate
TU_032,"MG_056, MG_057, MG_474",c,0,rna,substrate
TU_033,MG_058,c,0,rna,substrate
TU_034,MG_059,c,0,rna,substrate
TU_035,MG_060,c,0,rna,substrate
TU_036,MG_061,c,0,rna,substrate
MG475,MG475,c,6,rna,substrate/product
